employee_id,browser,device,operating_system,location,login_hour,failed_attempts,new_device,new_location,label
EMP060,Edge,Desktop,Android,Mumbai,15,1,Yes,No,Normal
EMP089,Edge,Desktop,Android,Mumbai,17,1,Yes,No,Normal
EMP046,Firefox,Desktop,Android,Hyderabad,9,0,No,Yes,Normal
EMP064,Firefox,Desktop,Android,Mumbai,8,0,Yes,Yes,Normal
EMP087,Firefox,Desktop,iOS,Mumbai,11,0,Yes,No,Normal
EMP047,Edge,Mobile,Windows,Chennai,12,1,No,Yes,Normal
EMP047,Chrome,Laptop,macOS,Hyderabad,10,0,No,Yes,Normal
EMP010,Firefox,Desktop,macOS,Hyderabad,12,1,No,No,Normal
EMP002,Firefox,Desktop,Windows,Unknown,0,6,Yes,Yes,Suspicious
EMP014,Chrome,Laptop,macOS,Mumbai,17,1,Yes,No,Normal
EMP082,Safari,Desktop,iOS,Delhi,13,0,Yes,No,Normal
EMP064,Firefox,Mobile,Android,Chennai,10,0,No,No,Normal
EMP086,Firefox,Desktop,Linux,London,3,5,Yes,Yes,Suspicious
EMP053,Safari,Mobile,Linux,Hyderabad,18,0,No,Yes,Normal
EMP013,Firefox,Desktop,macOS,Bengaluru,15,1,No,No,Normal
EMP059,Firefox,Mobile,macOS,Chennai,14,1,No,No,Normal
EMP032,Firefox,Desktop,Linux,Russia,23,5,Yes,Yes,Suspicious
EMP100,Edge,Desktop,iOS,Bengaluru,17,0,No,No,Normal
EMP023,Edge,Unknown,Windows,China,1,5,Yes,Yes,Suspicious
EMP076,Firefox,Unknown,Linux,Unknown,23,4,Yes,Yes,Suspicious
EMP096,Edge,Laptop,Windows,Bengaluru,19,1,Yes,No,Normal
EMP079,Chrome,Laptop,Linux,London,4,4,Yes,Yes,Suspicious
EMP008,Edge,Desktop,Windows,London,22,3,Yes,Yes,Suspicious
EMP042,Safari,Laptop,Windows,Hyderabad,19,1,No,No,Normal
EMP068,Chrome,Desktop,macOS,Delhi,18,1,No,Yes,Normal
EMP030,Safari,Desktop,Windows,Delhi,19,0,No,No,Normal
EMP033,Safari,Laptop,Android,Chennai,13,1,No,Yes,Normal
EMP013,Edge,Mobile,Android,Chennai,9,0,No,No,Normal
EMP053,Firefox,Desktop,iOS,Chennai,17,1,Yes,No,Normal
EMP074,Safari,Mobile,Windows,Mumbai,17,1,No,No,Normal
EMP015,Edge,Mobile,Android,Bengaluru,9,1,Yes,No,Normal
EMP089,Edge,Laptop,iOS,Delhi,17,0,Yes,Yes,Normal
EMP073,Edge,Laptop,macOS,Mumbai,13,0,No,No,Normal
EMP059,Chrome,Desktop,Windows,Chennai,19,0,No,No,Normal
EMP021,Firefox,Laptop,macOS,Delhi,17,0,No,No,Normal
EMP057,Chrome,Mobile,Windows,Mumbai,15,1,No,Yes,Normal
EMP087,Edge,Mobile,Windows,Mumbai,14,0,No,Yes,Normal
EMP039,Firefox,Desktop,Linux,Hyderabad,17,0,No,No,Normal
EMP056,Edge,Laptop,macOS,Mumbai,9,0,No,Yes,Normal
EMP095,Chrome,Desktop,Linux,Unknown,0,6,Yes,Yes,Suspicious
EMP074,Firefox,Laptop,Linux,Unknown,4,6,Yes,Yes,Suspicious
EMP059,Safari,Laptop,Windows,Hyderabad,8,1,No,Yes,Normal
EMP068,Firefox,Desktop,Android,Chennai,11,1,Yes,No,Normal
EMP010,Chrome,Desktop,Windows,China,2,4,Yes,Yes,Suspicious
EMP019,Chrome,Mobile,iOS,Bengaluru,13,1,Yes,Yes,Normal
EMP023,Edge,Laptop,Linux,Bengaluru,17,0,Yes,No,Normal
EMP020,Safari,Laptop,iOS,Delhi,15,1,Yes,No,Normal
EMP010,Safari,Laptop,macOS,Mumbai,17,0,No,Yes,Normal
EMP079,Safari,Desktop,Windows,Mumbai,12,0,Yes,No,Normal
EMP084,Safari,Laptop,iOS,Delhi,19,0,No,Yes,Normal
EMP044,Edge,Laptop,Linux,Russia,3,3,Yes,Yes,Suspicious
EMP067,Chrome,Mobile,Linux,Chennai,11,1,No,Yes,Normal
EMP007,Firefox,Laptop,macOS,Hyderabad,14,1,Yes,Yes,Normal
EMP093,Firefox,Desktop,macOS,Chennai,16,1,No,No,Normal
EMP084,Edge,Laptop,Windows,Delhi,18,0,No,No,Normal
EMP017,Safari,Desktop,iOS,Chennai,12,1,Yes,No,Normal
EMP024,Chrome,Mobile,Android,Delhi,13,0,No,No,Normal
EMP013,Firefox,Laptop,Linux,Bengaluru,10,0,No,No,Normal
EMP024,Chrome,Mobile,macOS,Delhi,10,1,No,No,Normal
EMP031,Edge,Mobile,Android,Chennai,14,1,Yes,Yes,Normal
EMP025,Firefox,Mobile,Android,Bengaluru,16,0,No,No,Normal
EMP078,Safari,Laptop,macOS,Hyderabad,16,1,No,No,Normal
EMP092,Chrome,Unknown,Windows,Unknown,4,3,Yes,Yes,Suspicious
EMP056,Chrome,Laptop,Windows,Bengaluru,12,1,Yes,No,Normal
EMP051,Firefox,Laptop,Windows,Russia,3,3,Yes,Yes,Suspicious
EMP092,Edge,Laptop,Windows,Mumbai,11,0,No,No,Normal
EMP058,Edge,Desktop,Windows,Mumbai,15,0,Yes,No,Normal
EMP031,Chrome,Desktop,macOS,Bengaluru,10,1,No,No,Normal
EMP077,Chrome,Desktop,Android,Delhi,15,0,No,No,Normal
EMP031,Edge,Mobile,Linux,Mumbai,14,0,Yes,No,Normal
EMP065,Edge,Mobile,Windows,Delhi,13,0,Yes,Yes,Normal
EMP096,Chrome,Laptop,Android,Chennai,18,1,No,No,Normal
EMP018,Firefox,Laptop,Linux,Russia,23,5,Yes,Yes,Suspicious
EMP081,Edge,Laptop,Linux,London,22,6,Yes,Yes,Suspicious
EMP006,Firefox,Unknown,Windows,Russia,2,4,Yes,Yes,Suspicious
EMP097,Chrome,Laptop,macOS,Delhi,14,1,No,No,Normal
EMP052,Firefox,Laptop,Windows,Mumbai,12,0,No,No,Normal
EMP035,Safari,Laptop,Linux,Hyderabad,19,1,No,Yes,Normal
EMP011,Safari,Desktop,Android,Delhi,10,1,No,No,Normal
EMP057,Firefox,Laptop,Android,Delhi,19,1,No,Yes,Normal
EMP010,Chrome,Mobile,macOS,Delhi,14,1,Yes,No,Normal
EMP057,Safari,Laptop,iOS,Bengaluru,8,0,Yes,Yes,Normal
EMP078,Firefox,Unknown,Windows,Unknown,3,3,Yes,Yes,Suspicious
EMP074,Chrome,Laptop,Windows,London,23,3,Yes,Yes,Suspicious
EMP004,Chrome,Laptop,Windows,Unknown,1,3,Yes,Yes,Suspicious
EMP058,Safari,Mobile,Android,Delhi,9,1,No,Yes,Normal
EMP023,Firefox,Mobile,Android,Bengaluru,9,0,No,No,Normal
EMP038,Safari,Desktop,macOS,Mumbai,19,0,Yes,Yes,Normal
EMP018,Edge,Mobile,Linux,Mumbai,16,0,No,No,Normal
EMP017,Safari,Desktop,macOS,Delhi,17,1,No,Yes,Normal
EMP099,Chrome,Desktop,macOS,Hyderabad,19,1,Yes,No,Normal
EMP045,Chrome,Desktop,macOS,Chennai,15,1,Yes,Yes,Normal
EMP016,Edge,Desktop,Linux,China,3,3,Yes,Yes,Suspicious
EMP037,Firefox,Desktop,Linux,Mumbai,19,0,No,Yes,Normal
EMP012,Firefox,Desktop,iOS,Mumbai,10,1,Yes,Yes,Normal
EMP004,Edge,Mobile,iOS,Bengaluru,10,1,Yes,No,Normal
EMP080,Edge,Desktop,Windows,China,23,6,Yes,Yes,Suspicious
EMP088,Safari,Mobile,iOS,Mumbai,18,1,No,No,Normal
EMP027,Safari,Desktop,Windows,Bengaluru,15,1,No,No,Normal
EMP072,Edge,Laptop,macOS,Mumbai,14,0,No,Yes,Normal
EMP019,Firefox,Laptop,Linux,Unknown,3,4,Yes,Yes,Suspicious
EMP042,Chrome,Laptop,Windows,China,23,4,Yes,Yes,Suspicious
EMP064,Firefox,Desktop,Linux,Hyderabad,16,1,No,No,Normal
EMP007,Chrome,Desktop,Windows,China,1,5,Yes,Yes,Suspicious
EMP014,Chrome,Desktop,Windows,Unknown,4,3,Yes,Yes,Suspicious
EMP073,Firefox,Mobile,macOS,Hyderabad,13,0,No,No,Normal
EMP080,Firefox,Mobile,macOS,Chennai,14,1,Yes,No,Normal
EMP097,Chrome,Desktop,Windows,Hyderabad,13,1,Yes,No,Normal
EMP018,Edge,Desktop,Windows,Russia,0,3,Yes,Yes,Suspicious
EMP041,Safari,Mobile,Android,Bengaluru,17,0,No,Yes,Normal
EMP091,Edge,Desktop,Windows,Unknown,4,6,Yes,Yes,Suspicious
EMP040,Safari,Desktop,macOS,Mumbai,18,0,No,Yes,Normal
EMP075,Chrome,Mobile,Android,Mumbai,18,0,Yes,No,Normal
EMP057,Safari,Desktop,Linux,Chennai,17,0,No,No,Normal
EMP008,Edge,Laptop,Linux,Hyderabad,16,1,Yes,Yes,Normal
EMP059,Edge,Mobile,macOS,Hyderabad,16,1,No,No,Normal
EMP036,Firefox,Mobile,macOS,Mumbai,17,1,No,No,Normal
EMP045,Edge,Laptop,macOS,Bengaluru,19,1,No,No,Normal
EMP099,Firefox,Laptop,Windows,Delhi,18,1,No,No,Normal
EMP096,Firefox,Desktop,macOS,Chennai,13,1,Yes,No,Normal
EMP079,Edge,Mobile,macOS,Delhi,19,1,No,No,Normal
EMP053,Edge,Desktop,Windows,Delhi,11,0,No,No,Normal
EMP061,Safari,Desktop,Linux,Chennai,16,0,No,Yes,Normal
EMP074,Edge,Laptop,macOS,Mumbai,18,0,No,Yes,Normal
EMP096,Chrome,Desktop,Android,Bengaluru,8,1,No,No,Normal
EMP059,Firefox,Desktop,Windows,Mumbai,17,0,No,No,Normal
EMP021,Safari,Desktop,iOS,Hyderabad,12,0,No,No,Normal
EMP087,Firefox,Mobile,Linux,Chennai,19,1,No,Yes,Normal
EMP086,Edge,Mobile,Android,Hyderabad,16,1,No,No,Normal
EMP050,Firefox,Laptop,Windows,China,0,5,Yes,Yes,Suspicious
EMP047,Firefox,Laptop,macOS,Delhi,19,0,No,Yes,Normal
EMP065,Chrome,Mobile,Windows,Hyderabad,12,0,No,Yes,Normal
EMP062,Firefox,Mobile,Windows,Mumbai,13,0,No,No,Normal
EMP097,Edge,Desktop,Windows,London,22,6,Yes,Yes,Suspicious
EMP047,Edge,Desktop,iOS,Chennai,16,1,Yes,Yes,Normal
EMP022,Edge,Unknown,Linux,China,4,4,Yes,Yes,Suspicious
EMP008,Safari,Desktop,Linux,Delhi,15,0,Yes,No,Normal
EMP093,Safari,Laptop,iOS,Chennai,16,1,Yes,No,Normal
EMP045,Chrome,Unknown,Linux,Russia,0,6,Yes,Yes,Suspicious
EMP099,Chrome,Desktop,Android,Chennai,12,1,No,No,Normal
EMP085,Safari,Laptop,Android,Hyderabad,14,1,No,Yes,Normal
EMP094,Edge,Mobile,macOS,Chennai,10,1,Yes,No,Normal
EMP030,Chrome,Desktop,macOS,Hyderabad,18,1,Yes,No,Normal
EMP054,Firefox,Desktop,macOS,Bengaluru,19,0,No,Yes,Normal
EMP087,Chrome,Desktop,Linux,Chennai,9,0,No,Yes,Normal
EMP097,Chrome,Desktop,Windows,Hyderabad,15,0,Yes,No,Normal
EMP099,Chrome,Desktop,iOS,Mumbai,11,1,Yes,Yes,Normal
EMP036,Firefox,Desktop,macOS,Bengaluru,18,0,No,No,Normal
EMP007,Edge,Desktop,Linux,London,4,6,Yes,Yes,Suspicious
EMP024,Safari,Mobile,macOS,Hyderabad,14,0,No,No,Normal
EMP072,Safari,Desktop,Linux,Mumbai,19,0,No,No,Normal
EMP043,Safari,Mobile,iOS,Bengaluru,14,0,No,No,Normal
EMP049,Safari,Laptop,Windows,Delhi,19,0,No,No,Normal
EMP043,Chrome,Desktop,Linux,Delhi,19,0,No,No,Normal
EMP078,Chrome,Desktop,Linux,Chennai,19,1,No,Yes,Normal
EMP084,Safari,Desktop,iOS,Mumbai,12,1,No,Yes,Normal
EMP098,Firefox,Laptop,iOS,Hyderabad,15,0,Yes,No,Normal
EMP003,Edge,Laptop,macOS,Hyderabad,8,0,Yes,No,Normal
EMP032,Safari,Laptop,Linux,Bengaluru,13,0,No,Yes,Normal
EMP022,Firefox,Laptop,Android,Hyderabad,15,0,Yes,No,Normal
EMP010,Edge,Laptop,Linux,Russia,4,3,Yes,Yes,Suspicious
EMP020,Chrome,Desktop,Android,Bengaluru,18,0,No,Yes,Normal
EMP085,Edge,Laptop,Windows,Russia,4,6,Yes,Yes,Suspicious
EMP036,Chrome,Mobile,iOS,Hyderabad,8,0,Yes,Yes,Normal
EMP020,Firefox,Desktop,iOS,Hyderabad,10,0,No,Yes,Normal
EMP073,Firefox,Laptop,macOS,Hyderabad,9,1,No,No,Normal
EMP071,Edge,Laptop,Windows,Chennai,9,1,No,No,Normal
EMP073,Chrome,Mobile,Linux,Chennai,15,1,Yes,No,Normal
EMP010,Chrome,Mobile,Windows,Bengaluru,11,1,No,No,Normal
EMP076,Firefox,Mobile,iOS,Chennai,10,1,No,No,Normal
EMP073,Edge,Laptop,Linux,Unknown,1,4,Yes,Yes,Suspicious
EMP011,Safari,Mobile,iOS,Mumbai,14,0,Yes,Yes,Normal
EMP099,Firefox,Desktop,Windows,Hyderabad,11,0,No,Yes,Normal
EMP071,Safari,Laptop,Windows,Mumbai,15,1,No,No,Normal
EMP010,Safari,Desktop,iOS,Hyderabad,9,1,No,Yes,Normal
EMP014,Firefox,Laptop,Linux,London,2,5,Yes,Yes,Suspicious
EMP012,Chrome,Laptop,Windows,Unknown,0,4,Yes,Yes,Suspicious
EMP046,Chrome,Desktop,Windows,Russia,0,3,Yes,Yes,Suspicious
EMP072,Firefox,Laptop,Windows,Mumbai,14,1,No,Yes,Normal
EMP035,Edge,Mobile,iOS,Bengaluru,18,1,No,No,Normal
EMP062,Safari,Desktop,Windows,Bengaluru,14,1,No,No,Normal
EMP018,Firefox,Laptop,Linux,Hyderabad,17,0,No,No,Normal
EMP084,Safari,Laptop,iOS,Hyderabad,13,1,No,No,Normal
EMP023,Edge,Laptop,macOS,Delhi,19,0,No,No,Normal
EMP051,Firefox,Laptop,Android,Delhi,11,1,No,No,Normal
EMP091,Edge,Mobile,iOS,Bengaluru,18,0,Yes,No,Normal
EMP039,Firefox,Mobile,Windows,Hyderabad,18,1,No,Yes,Normal
EMP075,Edge,Mobile,Android,Hyderabad,9,1,Yes,No,Normal
EMP085,Safari,Mobile,Windows,Mumbai,19,0,No,No,Normal
EMP014,Edge,Mobile,iOS,Chennai,17,1,No,No,Normal
EMP060,Chrome,Unknown,Linux,London,2,6,Yes,Yes,Suspicious
EMP015,Edge,Laptop,Windows,Hyderabad,9,1,No,No,Normal
EMP045,Edge,Laptop,macOS,Mumbai,15,0,Yes,No,Normal
EMP015,Safari,Mobile,Android,Mumbai,9,1,No,Yes,Normal
EMP067,Chrome,Desktop,Linux,China,22,4,Yes,Yes,Suspicious
EMP081,Firefox,Laptop,Windows,London,1,6,Yes,Yes,Suspicious
EMP058,Edge,Desktop,Windows,London,0,4,Yes,Yes,Suspicious
EMP069,Safari,Desktop,Linux,Bengaluru,12,0,Yes,No,Normal
EMP068,Chrome,Unknown,Windows,Russia,2,6,Yes,Yes,Suspicious
EMP059,Firefox,Mobile,Android,Delhi,14,0,No,No,Normal
EMP031,Firefox,Mobile,iOS,Chennai,18,0,No,No,Normal
EMP074,Edge,Laptop,Linux,Delhi,14,1,Yes,No,Normal
EMP018,Edge,Laptop,iOS,Bengaluru,16,0,No,No,Normal
EMP018,Chrome,Desktop,Linux,Unknown,0,6,Yes,Yes,Suspicious
EMP054,Chrome,Desktop,Windows,London,22,6,Yes,Yes,Suspicious
EMP005,Safari,Laptop,Linux,Chennai,17,0,No,No,Normal
EMP015,Firefox,Desktop,Android,Delhi,19,1,Yes,Yes,Normal
EMP055,Firefox,Mobile,macOS,Delhi,8,1,Yes,No,Normal
EMP045,Edge,Unknown,Windows,Russia,3,5,Yes,Yes,Suspicious
EMP081,Chrome,Laptop,Windows,Bengaluru,11,1,Yes,Yes,Normal
EMP077,Edge,Desktop,Linux,Chennai,17,1,Yes,No,Normal
EMP013,Firefox,Mobile,macOS,Mumbai,17,1,Yes,Yes,Normal
EMP032,Chrome,Unknown,Windows,China,22,4,Yes,Yes,Suspicious
EMP081,Chrome,Unknown,Windows,London,1,5,Yes,Yes,Suspicious
EMP059,Safari,Desktop,Windows,Hyderabad,16,1,Yes,No,Normal
EMP090,Firefox,Mobile,Windows,Chennai,19,1,Yes,Yes,Normal
EMP042,Chrome,Mobile,Android,Bengaluru,14,0,No,No,Normal
EMP098,Firefox,Mobile,iOS,Bengaluru,17,1,No,Yes,Normal
EMP057,Firefox,Desktop,Windows,Russia,0,4,Yes,Yes,Suspicious
EMP047,Safari,Desktop,Linux,Mumbai,10,1,No,Yes,Normal
EMP097,Firefox,Mobile,Linux,Chennai,14,1,Yes,Yes,Normal
EMP076,Chrome,Mobile,Windows,Chennai,11,1,No,No,Normal
EMP062,Safari,Desktop,Windows,Mumbai,9,1,Yes,No,Normal
EMP039,Chrome,Unknown,Linux,Russia,2,5,Yes,Yes,Suspicious
EMP079,Firefox,Desktop,Linux,Russia,4,3,Yes,Yes,Suspicious
EMP013,Safari,Laptop,Linux,Bengaluru,14,1,No,No,Normal
EMP018,Firefox,Desktop,Windows,Unknown,3,5,Yes,Yes,Suspicious
EMP085,Chrome,Desktop,iOS,Delhi,17,1,Yes,No,Normal
EMP007,Edge,Mobile,iOS,Delhi,11,1,No,Yes,Normal
EMP010,Edge,Laptop,Android,Chennai,11,1,Yes,Yes,Normal
EMP088,Chrome,Laptop,macOS,Bengaluru,14,1,No,Yes,Normal
EMP028,Chrome,Unknown,Linux,Russia,0,5,Yes,Yes,Suspicious
EMP011,Firefox,Laptop,Windows,London,3,6,Yes,Yes,Suspicious
EMP042,Edge,Laptop,Windows,Mumbai,9,0,No,Yes,Normal
EMP015,Chrome,Laptop,Android,Bengaluru,8,0,No,No,Normal
EMP021,Chrome,Laptop,Linux,Chennai,8,0,Yes,No,Normal
EMP100,Firefox,Mobile,iOS,Mumbai,10,1,No,Yes,Normal
EMP074,Chrome,Desktop,macOS,Hyderabad,12,0,No,Yes,Normal
EMP048,Safari,Laptop,iOS,Mumbai,8,1,Yes,No,Normal
EMP006,Firefox,Desktop,Linux,China,22,3,Yes,Yes,Suspicious
EMP005,Chrome,Desktop,Windows,Hyderabad,13,1,No,No,Normal
EMP074,Safari,Desktop,macOS,Bengaluru,14,1,No,No,Normal
EMP037,Chrome,Desktop,Linux,Delhi,8,1,No,No,Normal
EMP038,Firefox,Laptop,Windows,Delhi,15,0,No,No,Normal
EMP099,Firefox,Mobile,iOS,Bengaluru,15,1,Yes,No,Normal
EMP082,Edge,Desktop,Windows,Hyderabad,8,0,Yes,No,Normal
EMP068,Chrome,Laptop,Windows,Hyderabad,19,1,No,No,Normal
EMP030,Safari,Laptop,Windows,Bengaluru,19,1,No,No,Normal
EMP065,Safari,Mobile,macOS,Hyderabad,19,0,Yes,No,Normal
EMP031,Chrome,Unknown,Linux,London,22,4,Yes,Yes,Suspicious
